Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2, C3, C4, C5, C6, C7, C8",0805,10,.1uf,
"C13, C14, C15, C19, C20",0603,5,10uf,
C16,CAP-SMD_L7.3-W4.3-R-RD,1,330uF,C79112
C17,0603,1,10nf,
CN1-IO1,CONN-TH_WJ15EDGVC-3.81-5P,1,WJ15EDGVC-3.81-5P,C8391
"CN10-HOME1, CN11-MOON1, CN12-RST1, CN13-PWR2, CN5, CN6-CW1, CN7-CCW1, CN8-UP1, CN9-DOWN1",CONN-TH_2P-P3.81_KF2EDGV-3.81-2P,9,KF2EDGV-3.81-2P,C441332
"CN3-I2C1, CN4-LCD1, CN5-GPS1",CONN-TH_4P-P3.81_WJ2EDGVC-3.81-4P,3,WJ15EDGVC-3.81-4P,C8410
"CN8-SCL1, CN9-SDA1",TESTPOINT-SMD_L3.8-W2.0_RH-5019,2,RH-5019,C5199800
D1,SMA_L4.3-W2.6-LS5.1-RD,1,B340A,C64982
D2,0805,1,LED,C84260
J1,PinHeader_1x03_P2.54mm_Vertical,1,LCD_PWR_SELECT,
J2,PinHeader_1x03_P2.54mm_Vertical,1,GPS_PWR_SELECT,
"J3, J4",PinSocket_1x22_P2.54mm_Vertical,2,Conn_01x22_Socket,
L1,IND-SMD_L12.5-W12.5_RLF12545T,1,15uH,C40000
"P1, P2",CONN-TH_6P_WJ15EDGVC-3.81-6P,2,WJ15EDGVC-6P,C8415
"Q10, Q11, Q12, Q13, Q14, Q9",SOT-23,6,MMBT3904,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R2, R3, R4, R5, R6, R7, R8, R9",0805,18,10k,
R19,0603,1,10k,
R20,0603,1,3.24k,
R21,0805,1,40,C2930194
"R38, R39, R40, R41, R42, R43",0805,6,4.7k,
"TP1, TP2, TP3, TP4",TestPoint_Pad_1.5x1.5mm,4,TestPoint,
U1,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
"U2, U3",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,"74HC14D,653",C5605
U5,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,TPS5430DDAR,C9864
U6,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3_C347222,C347222
