Designator,Mid X,Mid Y,Rotation,Layer
C1,216.607,-124.614,180.0,top
C11,203.0,-75.5,270.0,top
C12,195.5,-75.5,270.0,top
C13,150.8,-74.575,270.0,top
C14,149.2,-74.575,270.0,top
C15,147.6,-74.575,270.0,top
C16,167.11,-67.2,0.0,top
C17,161.4,-76.4,0.0,top
C19,183.225,-78.8,180.0,top
C2,216.607,-135.826,180.0,top
C20,178.4,-72.575,270.0,top
C3,234.55,-124.5,180.0,top
C4,234.3925,-136.0,180.0,top
C5,234.55,-78.5,180.0,top
C6,234.55,-90.0,180.0,top
C7,224.95,-98.0,180.0,top
C8,203.5,-82.55,90.0,top
CN1-IO1,156.22,-146.0,180.0,top
CN10-HOME1,241.0,-76.41,270.0,top
CN11-MOON1,241.0,-87.948,270.0,top
CN12-RST1,141.7,-129.195,90.0,top
CN13-PWR2,142.1,-74.695,90.0,top
CN3-I2C1,196.486111,-145.9916,180.0,top
CN4-LCD1,214.25,-145.9916,180.0,top
CN5,228.995,-145.65,180.0,top
CN5-GPS1,177.75,-145.9916,180.0,top
CN6-CW1,223.057,-122.6,270.0,top
CN7-CCW1,223.057,-133.85,270.0,top
CN8-SCL1,190.066111,-136.05,0.0,top
CN8-UP1,241.0,-122.562,270.0,top
CN9-DOWN1,241.0,-134.1,270.0,top
CN9-SDA1,190.066111,-132.55,0.0,top
D1,156.0,-84.0,90.0,top
D2,183.7,-66.2,0.0,top
J1,198.29,-130.35,270.0,top
J2,198.29,-126.75,270.0,top
J3,169.58,-118.95,90.0,top
J4,169.58,-90.55,90.0,top
L1,170.2,-80.8,90.0,top
P1,198.66,-64.5,0.0,top
P2,224.72,-64.5,0.0,top
Q10,211.1575,-74.75,270.0,top
Q11,206.8125,-74.75,270.0,top
Q12,228.5375,-74.75,270.0,top
Q13,224.1925,-74.75,270.0,top
Q14,219.8475,-74.75,270.0,top
Q9,215.5025,-74.75,270.0,top
R1,216.627,-120.614,0.0,top
R10,234.57,-76.5,0.0,top
R11,234.57,-86.0,0.0,top
R12,234.57,-88.0,0.0,top
R13,199.0,-75.48,90.0,top
R14,201.0,-75.48,90.0,top
R15,191.5,-75.48,90.0,top
R16,193.5,-75.48,90.0,top
R17,194.466111,-136.05,270.0,top
R18,198.316111,-136.0375,270.0,top
R19,161.2,-70.6,180.0,top
R2,216.627,-122.614,0.0,top
R20,157.625,-70.6,180.0,top
R21,179.2875,-66.2,180.0,top
R3,216.627,-131.826,0.0,top
R38,215.415,-77.8125,180.0,top
R39,211.07,-77.8125,180.0,top
R4,216.627,-133.826,0.0,top
R40,206.725,-77.8125,180.0,top
R41,228.45,-77.8125,180.0,top
R42,224.105,-77.8125,180.0,top
R43,219.76,-77.8125,180.0,top
R5,234.57,-120.5,0.0,top
R6,234.57,-122.5,0.0,top
R7,234.4125,-132.0,0.0,top
R8,234.4125,-134.0,0.0,top
R9,234.57,-74.5,0.0,top
U1,169.47,-104.77184,90.0,top
U2,225.0,-104.0,180.0,top
U3,197.5,-82.55,90.0,top
U5,155.7,-74.49,180.0,top
U6,184.2,-73.975,0.0,top
